Questions,Subject,Question,option_1,option_2,option_3,option_4,correct_answer,topic,Topic_Difficulty,student_id,quiz_attempt,score,time_taken,difficulty,recommended_next_topic
"A radio isotope \( X \) has a half life of \( 10 s \) Find the number of active nuclei in the
sample (if initally there are 1000 isotopes which are falling from rest from a height of \( 3000 m \) ) when it is at a height of \( 1000 m \) from the reference
plane:
\( \mathbf{A} .50 \)
в. 250
c. 29
D. 100",Physics,,,,,,,Kinematics,Easy,1020,6,51,282,Medium,optics
"The colour are characterised by which of following character of light.
A. Frequency
B. Amplitude
c. wavelength
D. Velocity",Physics,The colour are characterised by which of following character of light.,Frequency,Amplitude,wavelength,Velocity,,Kinematics,Easy,1045,9,25,151,Easy,kinematics
"The first husband-wife team to get the Nobel Prize for Physics was.
A. Frederick Joliot-Irene Joliot-Curie
B. Pierre Curie-Marie Curie
c. carl cori-Gerty corir
D. Gunnar Myrdal-Alva Myrdal",Physics,The first husband-wife team to get the Nobel Prize for Physics was.,Frederick Joliot-Irene Joliot-Curie,Pierre Curie-Marie Curie,carl cori-Gerty corir,Gunnar Myrdal-Alva Myrdal,,Other,Unknown,1037,9,96,77,Hard,thermodynamics
"what emf \( E \) of the source must be
applied to maintain the required current? Consider the total resistance
of the circuit to be constant and equal
to
\( R . \) Disregard the inductance of the circuit.",Physics,,,,,,,Electricity,Hard,1070,5,20,64,Easy,electricity
"Calculate inductive reactance of coil in
the following figure.",Physics,,,,,,,Other,Unknown,1081,6,65,212,Medium,mechanics
"An irreversible process can be described as a thermodynamic process
that:
A. maintains equilibrium
B. leaves equilibrium
\( c . \) is slow
D. None of these",Physics,,,,,,,Other,Unknown,1060,7,85,206,Hard,thermodynamics
"Assertion
A body is moved from \( x=2 \) to \( x=1 \)
under a force \( \boldsymbol{F}=\mathbf{4} \boldsymbol{x} \), the work done by
this force is negative.
Reason
Force and displacement are in opposite directions.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect",Physics,"Assertion
A body is moved from \( x=2 \) to \( x=1 \)
under a force \( \boldsymbol{F}=\mathbf{4} \boldsymbol{x} \), the work done by
this force is negative.
Reason
Force and displacement are in opposite directions.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Kinematics,Easy,1002,9,64,78,Medium,mechanics
"In steady horizontal flow:
A. the pressure is greatest where the speed is leas
B. the pressure is independent of speed
C. the pressure is least where the speed is least
D. (a) and
(c) are correct",Physics,In steady horizontal flow:,the pressure is greatest where the speed is leas,the pressure is independent of speed,the pressure is least where the speed is least,"(a) and
(c) are correct",,Other,Unknown,1037,10,75,159,Hard,thermodynamics
"A convex lens of focal length \( \boldsymbol{f} \) is cut
into two halves as shown. Light rays
parallel to the principal axis
are incident on one half of the lens (say
\( \boldsymbol{L}_{1} \) ). This will form an image at :
\( A \cdot f \)
B. \( \frac{f}{2} \)
c. \( 2 f \)
D. \( \frac{f}{4} \)",Physics,,,,,,,Optics,Easy,1027,10,93,221,Hard,kinematics
"The condition for observing Fraunhoffer diffraction from a single slit is that the light wavefront incident on the slit
should be
A. spherical
B. cylindrical
c. plane
D. elliptical",Physics,"The condition for observing Fraunhoffer diffraction from a single slit is that the light wavefront incident on the slit
should be",spherical,cylindrical,plane,elliptical,,Optics,Easy,1090,2,94,103,Hard,thermodynamics
"A long straight conductor carrying \( \boldsymbol{I}_{1} \) is placed in the plane of ribbon at a
distance a from the near edge of a
ribbon of width b, which carries \( \boldsymbol{I}_{2} \)
parallel to the wire. Find the force of attraction per unit length between the
two.",Physics,,,,,,,Mechanics,Medium,1024,2,81,155,Hard,kinematics
"If an electron and a proton have the
same kinetic energy, the ratio of the de Broglie wavelengths of proton and electron would approximately be :
A . 1: 1837
в. 43: 1
\( c \cdot 1837: 1 \)
D. 1: 43",Physics,,,,,,,Mechanics,Medium,1082,2,92,227,Hard,thermodynamics
"The charge appearing on the outer surface of extreme left plate is :
A . \( -(Q / 2) \)
B. \( (Q / 2) \)
\( c \cdot Q \)
D. -",Physics,,,,,,,Electricity,Hard,1049,9,81,101,Hard,kinematics
"which of the following is/are not
proportional to the inverse square of the
distance \( \times ? \)
This question has multiple correct options
A. The potential at a distance \( x \) from an isolated point charge
B. the electric field at a distance \( x \) from an isolated point charge
C. The force per unit length between two thin, straight, infinitely long current carrying conductors, parallel to each other, separated by a distance \( x \)
D. The gravitational attraction between two small bodies kept at a distance x apart",Physics,"which of the following is/are not
proportional to the inverse square of the
distance \( \times ? \)
This question has multiple correct options",The potential at a distance \( x \) from an isolated point charge,the electric field at a distance \( x \) from an isolated point charge,"The force per unit length between two thin, straight, infinitely long current carrying conductors, parallel to each other, separated by a distance \( x \)",The gravitational attraction between two small bodies kept at a distance x apart,,Mechanics,Medium,1041,4,64,135,Medium,optics
"Work-energy theorem is valid in the
presence of
A. External forces only
B. Internal forces onlhy
c. conservative forces only
D. All type of forces",Physics,"Work-energy theorem is valid in the
presence of",External forces only,Internal forces onlhy,conservative forces only,All type of forces,,Mechanics,Medium,1021,9,55,168,Medium,optics
"What is the equation of motion for the
rocket, if \( m \) is the mass of the rocket at
a given moment, \( \vec{w} \) is its acceleration, and \( \overrightarrow{\boldsymbol{F}} \) is the external force.
\( \mathbf{A} \cdot m \vec{w}=\vec{F}-2 \mu \vec{u} \)
в. \( m \vec{w}=\vec{F}+\mu \vec{u} \)
C \( . m \vec{w}=\vec{F}-3 \mu \vec{u} \)
D \( \cdot m \vec{w}=\vec{F}-\mu \vec{u} \)",Physics,,,,,,,Kinematics,Easy,1061,10,28,158,Easy,kinematics
"The transformation ratio of a
transformer is \( 10: 1 . \) The current in the
primary circuit if the secondary current required is 100 A assuming the transformer be ideal, is
\( A \cdot 500 A \)
B. 200 A
\( c \cdot 1000 A \)
D. 2000 A",Physics,,,,,,,Electricity,Hard,1088,10,95,246,Hard,kinematics
"Which of the statements is incorrect
about the simple microscope?
A. Biology students use to see the slides
B. It is not used for magnification of an object at far away from the observer
C. Magnification of microscope is inversely proportional to the least distance of distinct vision
D. A convex lens of microscope with shorter focal length yields higher magnification",Physics,"Which of the statements is incorrect
about the simple microscope?",Biology students use to see the slides,It is not used for magnification of an object at far away from the observer,Magnification of microscope is inversely proportional to the least distance of distinct vision,A convex lens of microscope with shorter focal length yields higher magnification,,Optics,Easy,1034,10,85,75,Hard,thermodynamics
"The flow of blood in a large artery of an anesthetised dog is diverted through a venturi meter. The wider part of the
meter has a cross-sectional area equal
to that of the artery \( A=8 m m^{2} \). The
narrower part has an area \( a=4 m m^{2} \)
The pressure drop in the artery is 24 Pa. What is the speed of blood in the artery?
Density of blood is \( 1.06 \times 10^{3} k g / m^{3} \)
A . \( 13.5 \times 10^{-2} \mathrm{ms}^{-1} \)
B . \( 12.5 \times 10^{-2} \mathrm{ms}^{-1} \)
C \( .26 .5 \times 10^{-3} \mathrm{ms}^{-1} \)
D . \( 32.5 \times 10^{-} \mathrm{ms}^{-1} \)",Physics,,,,,,,Other,Unknown,1021,9,96,48,Hard,kinematics
"A liquid of density \( 12 k g m^{-3} \) exerts a
pressure of \( 600 P a \) at a point inside a liquid. What is height of liquid column
above that point? \( \left(\boldsymbol{g}=\mathbf{1 0 m} \boldsymbol{s}^{-1}\right) \)",Physics,,,,,,,Other,Unknown,1082,5,63,178,Medium,mechanics
"Two Nicole prisms are kept perpendicular. One of them is illuminated with a light intensity
(natural) \( I_{o} \). Two more nicol prisms are introduced in between symmetrically. Find the light intensity emitted from the last nicol prism.
A \( \cdot \frac{27 I_{0}}{64} \)
в. \( \frac{27 I_{o}}{128_{o}} \)
c. \( _{9} \frac{I_{o}}{32} \)
D. \( \frac{9 I_{0}}{64} \)",Physics,,,,,,,Optics,Easy,1039,7,58,258,Medium,electricity
"Under isothermal condition, energy \( \boldsymbol{E} \) is supplied to a soap bubble of surface tension \( \sigma \) and radius \( r \) to double the
radius of the soap bubble. The value of
\( \boldsymbol{E} \) is:
A \( \cdot 16 \pi r^{2} \sigma \)
B. 24 \( \pi r^{2} \sigma \)
\( \mathbf{c} \cdot 8 \pi r^{2} \sigma \)
D. \( 12 \pi r^{2} \sigma \)",Physics,,,,,,,Mechanics,Medium,1067,2,31,288,Easy,mechanics
"A current of \( 1 A \) flows through a copper
wire. The number of electrons passing through any cross-section of the wire in
1.6 \( \sec \) is (charge of a electrons \( =1.6 \times \)
\( \left.10^{-19} C\right) \)
\( \mathbf{A} \cdot 10^{19} \)
B. \( 10^{2} \)
\( c \cdot 10^{25} \)
D. \( 10^{28} \)",Physics,,,,,,,Electricity,Hard,1050,1,75,122,Hard,thermodynamics
Draw the diagram representing the schematic arrangement of the GeigerMarsdon experimental setup tor the alpha particle scattering.,Physics,,,,,,,Other,Unknown,1026,5,91,116,Hard,kinematics
"To determine the Young modulus of a wire, several measurements are taken.
In which row can the measurement not
be taken directly with the stated apparatus?
A. measurement: area of cross-section of wire apparatus : micrometer screw gauge
B. measurement: extension of wire ; apparatus: vernier scale
c. measurement: mass of load applied to wire ; apparatus : electronic balance
D. measurement: original length of wire ; apparatus metre rule",Physics,"To determine the Young modulus of a wire, several measurements are taken.
In which row can the measurement not
be taken directly with the stated apparatus?",measurement: area of cross-section of wire apparatus : micrometer screw gauge,measurement: extension of wire ; apparatus: vernier scale,measurement: mass of load applied to wire ; apparatus : electronic balance,measurement: original length of wire ; apparatus metre rule,,Mechanics,Medium,1090,7,80,125,Hard,kinematics
"When tall buildings are constructed on earth, the duration of day night
A. slightly increases
B. slightly decreases
c. has no change
D. none of these",Physics,"When tall buildings are constructed on earth, the duration of day night",slightly increases,slightly decreases,has no change,none of these,,Optics,Easy,1015,8,31,192,Easy,optics
"Find the vertical height through which a
body of mass \( 0.5 k g \) is lifted if the
energy spent in doing so is \( 1.0 J \)
Consider \( \boldsymbol{g}=\mathbf{1 0 m} \boldsymbol{s}^{-2} \)
\( \mathbf{A} \cdot 30 \mathrm{cm} \)
B. \( 40 \mathrm{cm} \)
c. \( 20 \mathrm{cm} \)
D. \( 50 \mathrm{cm} \)",Physics,,,,,,,Mechanics,Medium,1058,10,83,67,Hard,thermodynamics
"Energy band gap between valence band and conduction band for insulator is:
A. Zero
B. greater than 9 eV
c. less than conductors
D. approximately \( 1 e V \)",Physics,Energy band gap between valence band and conduction band for insulator is:,Zero,greater than 9 eV,less than conductors,approximately \( 1 e V \),,Mechanics,Medium,1058,3,76,222,Hard,kinematics
"Speed of sound waves in fluid is
A. directly proportional to the square root of bulk modulus of the medium.
B. inversely proportional to the bulk modulus of the medium
C. directly proportional to the density of the medium.
D. inversely proportional to the density of the medium.",Physics,Speed of sound waves in fluid is,directly proportional to the square root of bulk modulus of the medium.,inversely proportional to the bulk modulus of the medium,directly proportional to the density of the medium.,inversely proportional to the density of the medium.,,Other,Unknown,1029,1,54,208,Medium,optics
"Dimensional formula for Angular
momentum is:
A \( \cdot M L^{2} T^{-1} \)
B . \( M^{1} L^{3} T^{-1} \)
c. \( M^{1} L^{1} T^{-1} \)
D. \( M L^{3} T^{-2} \)",Physics,,,,,,,Mechanics,Medium,1084,8,60,172,Medium,mechanics
"Which one of the following statements
best describes the nature of the field
lines due to a bar magnet?
A. Field lines start from the north pole and end on the south pole. Any number of field lines can pass through a point
B. Field lines start from the north pole and end on the south pole. Only one field line passes through a point
C. Field lines are continuous lines passing inside and outside the magnet. Only one field line passes through a point
D. Field lines are continuous lines passing inside and outside the magnet. Any number of field lines can pass through a point",Physics,"Which one of the following statements
best describes the nature of the field
lines due to a bar magnet?",Field lines start from the north pole and end on the south pole. Any number of field lines can pass through a point,Field lines start from the north pole and end on the south pole. Only one field line passes through a point,Field lines are continuous lines passing inside and outside the magnet. Only one field line passes through a point,Field lines are continuous lines passing inside and outside the magnet. Any number of field lines can pass through a point,,Other,Unknown,1064,4,95,257,Hard,kinematics
"Two tiny spheres, each of mass \( M, \) and
charges \( +\boldsymbol{q} \) and \( -\boldsymbol{q} \) respectively, are connected by a massless rod of length,
L. They are placed in a uniform electric field an an angle \( \theta \) with the \( \vec{E}\left(\theta=0^{\circ}\right) \)
Calculate the minimum time in which
the dipole axis becomes parallel to the field line.",Physics,,,,,,,Kinematics,Easy,1091,2,22,213,Easy,kinematics
"The gate for which output is high, if at least one input is low is
A. NAND
в. NOR
c. AND
D. or",Physics,,,,,,,Other,Unknown,1028,1,55,224,Medium,electricity
"If the dielectric constant is \( K \) then, find the electric field at equator of dipole?",Physics,,,,,,,Other,Unknown,1056,8,98,122,Hard,kinematics
"The reflecting surface of a plane mirror is vertical. A particle is a project in a vertical plane also perpendicular to the mirror the initial speed of the particle
is \( 10 \mathrm{m} / \mathrm{s} \) and the angle of project \( 60^{\circ} \)
from the normal of the mirror. the point of projection is at a distance \( 5 \mathrm{m} \) from particle moves towards the mirror.just before the particle touches the mirror.
the velocity of approving of the particle
and the image is:
A. \( 12 \mathrm{m} / \mathrm{s} \)
B. \( 5 \mathrm{m} / \mathrm{s} \)
c. \( 10 \mathrm{m} / \mathrm{s} \)
D. \( 5 \sqrt{5} \) m/s",Physics,"The reflecting surface of a plane mirror is vertical. A particle is a project in a vertical plane also perpendicular to the mirror the initial speed of the particle
is \( 10 \mathrm{m} / \mathrm{s} \) and the angle of project \( 60^{\circ} \)
from the normal of the mirror. the point of projection is at a distance \( 5 \mathrm{m} \) from particle moves towards the mirror.just before the particle touches the mirror.
the velocity of approving of the particle
and the image is:",\( 12 \mathrm{m} / \mathrm{s} \),\( 5 \mathrm{m} / \mathrm{s} \),\( 10 \mathrm{m} / \mathrm{s} \),\( 5 \sqrt{5} \) m/s,,Kinematics,Easy,1084,4,73,80,Hard,kinematics
"Given : A and B are input terminals.
\( \operatorname{Logic} 1=>5 V \)
\( \operatorname{Logic} \mathbf{0}=<\mathbf{1} \boldsymbol{V} \)
Which logic gate operation, the following circuit does?
\( A \). AND Gate
B. OR Gate
c. XOR Gate
D. NOR Gate",Physics,,,,,,,Electricity,Hard,1060,10,93,118,Hard,kinematics
"Transformer works on \( 220 V . \) Its
efficiency is \( 80 \% \). Output power is \( 8 K W . \) Primary current is
approximately.
\( \mathbf{A} \cdot 35 A \)
в. \( 18 A \)
\( c .22 A \)
D. \( 45 A \)",Physics,,,,,,,Mechanics,Medium,1070,10,24,154,Easy,mechanics
"State whether the given statement is
True or False :
Tremors on the Earth can also be
caused by the eruption of a volcano.
A. True
B. False",Physics,,,,,,,Other,Unknown,1080,9,68,161,Medium,optics
"The angle of dip at a place horizontal and vertical components of earth's magnetic field are equal, is :
A \( \cdot 90^{\circ} \)
B . \( 30^{\circ} \)
\( c \cdot 45 \)
D. \( 0^{\circ} \)",Physics,,,,,,,Other,Unknown,1034,8,71,88,Hard,kinematics
"Write three conclusion made by
Rutherford on the basis of alpha
particle scattering experiment.",Physics,,,,,,,Other,Unknown,1057,7,34,83,Easy,other
"Resistance of a resistor at temperature
\( t^{0} \boldsymbol{C} \) is \( \boldsymbol{R}_{t}=\boldsymbol{R}_{0}\left(\mathbf{1}+\boldsymbol{\alpha} \boldsymbol{t}+\boldsymbol{\beta} \boldsymbol{t}^{2}\right) . \) Here \( \boldsymbol{R}_{0} \)
is the resistance at \( 0^{0} C . \) The
temperature coefficient of resistance at
temperature \( t^{0} C \) is
A \( \cdot \frac{\left(1+\alpha t+\beta t^{2}\right)}{\alpha+2 \beta t} \)
в. \( \alpha+2 \beta t \)
c. \( \frac{\alpha+2 \beta t}{\left(1+\alpha t+\beta t^{2}\right)} \)
D. \( \frac{\alpha+2 \beta t}{2\left(1+\alpha t+\beta t^{2}\right)} \)",Physics,,,,,,,Thermodynamics,Medium,1032,8,71,127,Hard,thermodynamics
"In half wave rectifier, a p-n diode with internal resistance \( 20 \Omega \) is used. If the
load resistance of \( 2 K \Omega \) is used in the
circuit, then the efficiency of this half wave rectifier is (in percentage)",Physics,,,,,,,Electricity,Hard,1001,10,90,82,Hard,thermodynamics
"In a experiment to measure the height of a bridge by dropping a stone into water underneath,if the error in the
measurement of times is \( 0.1 s \) at the
end of \( 2 s \),then the error in the
estimation of the height of the bridge
will be
\( \mathbf{A} \cdot 0.49 m \)
B. \( 0.98 m \)
c. \( 1.96 m \)
D. \( 2.12 m \)",Physics,,,,,,,Other,Unknown,1058,10,67,127,Medium,mechanics
"Which of the following is the best nuclear fuel?
A \( \cdot U^{23} \)
B. \( P u^{23} \)
C. \( N p^{239} \)
D. \( T h^{236} \)",Physics,,,,,,,Modern Physics,Hard,1074,1,98,79,Hard,thermodynamics
"A body of mass \( M \) and radius \( R \) is
rolling on a horizontal plane with speed
v. It then rolls up an inclined plane upto a height \( h=\frac{v^{2}}{g} . \) What is the nature of
the body?
A. Ring
B. Solid sphere
c. spherical shell
D. Cylinder",Physics,"A body of mass \( M \) and radius \( R \) is
rolling on a horizontal plane with speed
v. It then rolls up an inclined plane upto a height \( h=\frac{v^{2}}{g} . \) What is the nature of
the body?",Ring,Solid sphere,spherical shell,Cylinder,,Mechanics,Medium,1028,9,86,252,Hard,thermodynamics
"Earth is flattened at poles and bulging
at equator. This is due to
A. revolution of Earth around the Sun in an elliptical orbit
B. angular velocity of spinning about its axis is more at Equator
C . centrifugal force is more at Equator than poles
D. more centrifugal force at poles than Equator",Physics,,,,,,,Kinematics,Easy,1006,5,28,236,Easy,kinematics
"A ball is dropped from height 5 m. The
time after which ball stops rebounding if coefficient of restitution between ball
and ground \( e=1 / 2, \) is
This question has multiple correct options
A. 1 sec
B. 2 sec
\( \mathrm{c} \cdot 3 \mathrm{sec} \)
D. infinite",Physics,,,,,,,Kinematics,Easy,1049,1,67,98,Medium,electricity
Derive the expression for motional EMF induced in a conductor moving in a uniform magnetic field.,Physics,,,,,,,Kinematics,Easy,1082,2,77,46,Hard,thermodynamics
"A long-jumper runs before jumping to
A. Cover greater distance
B. Maintain momentum conservation
C. Gain energy by running
D. Gain momentum",Physics,A long-jumper runs before jumping to,Cover greater distance,Maintain momentum conservation,Gain energy by running,Gain momentum,,Mechanics,Medium,1081,7,93,116,Hard,kinematics
"What will be the frequency of an alternating current, if its direction changes after every 0.05 s?
A. \( 5 \mathrm{Hz} \)
в. 10нz
\( c \cdot 50 H z \)
D. онz",Physics,,,,,,,Electricity,Hard,1063,4,21,202,Easy,electricity
"Branch of study involving rearrangement of atoms and making nano-materials is known as?
A. Mechanical engg.
B. Chemical engg.
c. Electrical engg.
D. Nanotechnology",Physics,Branch of study involving rearrangement of atoms and making nano-materials is known as?,Mechanical engg.,Chemical engg.,Electrical engg.,Nanotechnology,,Modern Physics,Hard,1066,4,69,101,Medium,electricity
"When a \( U^{238} \) nucleus originally at rest,
decay by emitting an alpha particle having a speed \( 1.5 \times 10^{7} m^{-1} . \) Then
calculate the kinetic energy of the residual nucleus.",Physics,,,,,,,Kinematics,Easy,1070,2,27,150,Easy,kinematics
"Four charges are rigidly along the Y axis as shown. A positive charge approaches the system along the X axis with initial
speed just enough to cross the origin. Then its total energy at the origin is
A. zero
B. positive
C . negative
D. data insufficient",Physics,,,,,,,Mechanics,Medium,1053,4,97,93,Hard,thermodynamics
"Electric charge is due to the loss or gain
of
A. protons
B. neutrons
c. electrons
D. none of these",Physics,"Electric charge is due to the loss or gain
of",protons,neutrons,electrons,none of these,,Electricity,Hard,1023,8,30,96,Easy,electricity
"A ray of light passing through an equilateral triangular prism gets
deviated at least by \( 30^{\circ} . \) Then, the
refractive index of the material of the
prism must be
\( A \cdot \leq \sqrt{2} \)
B. \( \geq \sqrt{2} \)
\( c \cdot \leq \sqrt{3} \)
\( D \cdot \geq \sqrt{3} \)",Physics,,,,,,,Optics,Easy,1074,9,43,166,Medium,electricity
"A cart begins from rest at the top of a long incline and rolls with a constant
acceleration of \( 2 m / s^{2} . \) How far has the
cart moved along the incline after
rolling for 3 seconds?
A. 3 meters
B. 6 meters
c. 9 meters
D. 18 meters",Physics,"A cart begins from rest at the top of a long incline and rolls with a constant
acceleration of \( 2 m / s^{2} . \) How far has the
cart moved along the incline after
rolling for 3 seconds?",3 meters,6 meters,9 meters,18 meters,,Kinematics,Easy,1066,3,95,283,Hard,kinematics
"In Boyles experiment for a given gas at
different temperatures the graph drawn
between pressure and density are
straight lines as shown then:
A \( \cdot T_{1}>T_{2} \)
в. \( T_{2}>T_{1} \)
\( \mathrm{c} \cdot T_{1}=T_{2} \)
D. \( T_{1}^{3}=T_{2} \)",Physics,,,,,,,Kinematics,Easy,1076,9,78,173,Hard,kinematics
"Find the electric field both inside the
shell at a distance \( r \) from the centre.
\( ^{A} \cdot \frac{Q}{4 \pi \epsilon_{0} a^{2}} \)
в. \( \frac{Q r}{4 \pi \epsilon_{0} a^{2}} \)
c. \( \frac{Q}{4 \pi \epsilon_{0} a^{3}} \)
D. \( \frac{Q r}{4 \pi \epsilon_{0} a^{3}} \)",Physics,,,,,,,Other,Unknown,1032,5,56,45,Medium,mechanics
State Gauss' law. Using this find an expression for electric field due to an infinitely long straight charged wire uniform charge density,Physics,,,,,,,Kinematics,Easy,1092,8,51,221,Medium,mechanics
"Electrons at rest are accelerated by a potential of \( V \) volt. These electrons enter the region of space having a uniform, perpendicular magnetic induction field
B. The radius of the path of the electrons inside the magnetic field is?
A \( \cdot \sqrt{(m e V) / B e} \)
B. \( \sqrt{(2 m e V) / B e} \)
\( \mathbf{c} \cdot \sqrt{(m e V) / 2 B e} \)
D. None of these",Physics,,,,,,,Kinematics,Easy,1027,7,50,46,Medium,mechanics
"The electrical circuit used to get
smooth D.C output from a rectifier circuit is called:
\( \mathbf{A} \). Filter
B. Oscillator
c. \( \operatorname{cogic} \) gates
D. Amplifier",Physics,"The electrical circuit used to get
smooth D.C output from a rectifier circuit is called:
\( \mathbf{A} \). Filter","C output from a rectifier circuit is called:
\( \mathbf{A} \). Filter",Oscillator,\( \operatorname{cogic} \) gates,Amplifier,,Electricity,Hard,1001,5,80,90,Hard,thermodynamics
"The equiconvex lens has a focal length
'f. If the lens is cut along the line perpendicular to principal axis and passing through the pole, what will be the focal length of any half part?
A \( \cdot \frac{f}{2} \)
B . \( 2 f \)
\( c \cdot \frac{3 f}{2} \)
D. \( f \)",Physics,,,,,,,Optics,Easy,1070,8,37,80,Easy,optics
"A fish looking up through the water sees the outside world in a circular horizon. If
the refractive index of water is \( 4 / 3 \) and
the fish is \( 12 m \) below the surface, the
radius of the circle in \( \mathrm{cm} \) is
A. \( 36 \sqrt{7} \)
в. \( \frac{36}{\sqrt{7}} \)
c. \( 36 \sqrt{5} \)
D. \( 4 \sqrt{5} \)",Physics,,,,,,,Other,Unknown,1063,7,25,244,Easy,other
"Which of them are atomic models?
Thomsons plum puddling model
Rutherfords nuclear model
Bohrs model
Sommerfelds model
\( A \cdot i \& \) i
B. i, ii \& iii
c. ii, ii \& iv
D. All of these",Physics,,,,,,,Modern Physics,Hard,1100,3,100,78,Hard,kinematics
"A ball is thrown upwards from the top of
a tower \( 40 m \) high with a velocity of 10 \( m / s \). Find the time when it strikes
the ground. Take \( \boldsymbol{g}=\mathbf{1 0 m} / \boldsymbol{s}^{\mathbf{2}} \)
A. \( 4 s \)
B. \( 6 s \)
\( c \cdot 3 s \)
D. \( 7 s \)",Physics,"A ball is thrown upwards from the top of
a tower \( 40 m \) high with a velocity of 10 \( m / s \). Find the time when it strikes
the ground. Take \( \boldsymbol{g}=\mathbf{1 0 m} / \boldsymbol{s}^{\mathbf{2}} \)",Take \( \boldsymbol{g}=\mathbf{1 0 m} / \boldsymbol{s}^{\mathbf{2}} \),\( 4 s \),"\( 6 s \)
\( c \cdot 3 s \)",\( 7 s \),,Kinematics,Easy,1082,10,35,148,Easy,kinematics
"The electric current \( i \) in the circuit
shown is:
\( \mathbf{A} \cdot 6 A \)
B. \( 2 A \)
\( c \cdot 3 A \)
D. \( 4 A \)",Physics,,,,,,,Electricity,Hard,1043,3,22,105,Easy,electricity
"A flat, square surface with sides of length L is described by the equations. \( \boldsymbol{x}=\boldsymbol{L}, \mathbf{0} \leq \boldsymbol{y} \leq \boldsymbol{L}, \mathbf{0} \leq \boldsymbol{z} \leq \boldsymbol{L} \)
The electric flux through the square due to a positive point charge q located at the origin( \( x=0, y=0, z=0 \) ) is
A. \( \frac{q}{4 \varepsilon_{o}} \)
в. \( \frac{q}{6 \varepsilon_{o}} \)
c. \( \frac{q}{24 \varepsilon_{o}} \)
D. \( \frac{q}{48 \varepsilon_{o}} \)",Physics,,,,,,,Electricity,Hard,1057,3,58,167,Medium,electricity
"Due to irreversibility of a process,
A. initial state of the process cannot be restored
B. final state is not in equilibrium with the initial state.
C. the intermediate states are not in equilibrium with each other.
D. All of the above.",Physics,"Due to irreversibility of a process,",initial state of the process cannot be restored,final state is not in equilibrium with the initial state.,the intermediate states are not in equilibrium with each other.,All of the above.,,Kinematics,Easy,1072,6,92,124,Hard,kinematics
"Two weight \( w_{1} \) and \( w_{2} \) are connected by a light thread which passes over a light smooth pulley. If the pulley is raised upward with an acceleration equal to \( g \) then tension in the thread will be
A \( \cdot \frac{2 w_{1} w_{2}}{w_{1}+w_{2}} \)
в. \( \frac{w_{1} w_{2}}{w_{1}+w_{2}} \)
c. \( \frac{4 w_{1} w_{2}}{w_{1}+w_{2}} \)
D. \( \frac{4 w_{1} w_{2}}{w_{1}-w_{2}} \)",Physics,,,,,,,Kinematics,Easy,1065,8,56,229,Medium,optics
"Q Type your question
illustrated in Fig.
Ball \( X \) has an initial velocity of
\( 3.0 m s^{-1} \) in a direction along line \( A B \)
Ball \( Y \) has a mass of \( 2.5 k g \) and an
initial velocity of \( 9.6 m s^{-1} \) in a
direction at an angle of \( 60^{\circ} \) to line \( A B \)
The two balls collide at point \( B \). The
balls stick together and then trave along the horizontal surface in a
direction at right-angles to the line \( \boldsymbol{A B} \)
as shown in Fig.

Calculate the common speed \( V \) of the
two balls after the collision",Physics,,,,,,,Kinematics,Easy,1013,8,84,261,Hard,thermodynamics
"At what distance in front of a concave
mirror of focal length \( 10 \mathrm{cm}, \) an object
be placed so that its real image of size five times that of the object obtain?",Physics,,,,,,,Optics,Easy,1014,4,77,158,Hard,thermodynamics
"The maximum value attained by the tension in the string of a swinging pendulum is four times the minimum value it attains. There is no slack in the
string. The angular amplitude of the pendulum is?
A \( \cdot 90^{\circ} \)
B. \( 60^{\circ} \)
\( c \cdot 45^{\circ} \)
D. \( 30^{\circ} \)",Physics,,,,,,,Other,Unknown,1100,8,47,103,Medium,mechanics
"What is the ratio of the speed of light in a vacuum to the speed of light in a particular material is called?
A. The coefficient of diffraction of the materia
B. The index of refraction of the material
c. The coefficient of refraction of the material
D. The index of diffraction of the material
E. The modulus of diffraction of the material",Physics,What is the ratio of the speed of light in a vacuum to the speed of light in a particular material is called?,The coefficient of diffraction of the materia,The index of refraction of the material,The coefficient of refraction of the material,"The index of diffraction of the material
E. The modulus of diffraction of the material",,Optics,Easy,1026,4,76,257,Hard,thermodynamics
"A ray of light undergoes deviation of \( 30^{\circ} \) when incident on an equilateral prism of refractive index \( \sqrt{2} . \) The angle made
by the ray inside the prism with the base of the prism is:",Physics,,,,,,,Optics,Easy,1036,5,42,87,Medium,electricity
"If y denotes the displacement and t denote the time and the displacement is given by \( y=a \sin t, \) the velocity of the particle is-",Physics,,,,,,,Kinematics,Easy,1097,3,92,146,Hard,kinematics
