Questions,Subject,cleaned_question,topic,Topic_Difficulty,student_id,quiz_attempt,score,time_taken,difficulty,recommended_next_topic,question,option_1,option_2,option_3,option_4,correct_answer
"\( \ln \operatorname{arclation} F=a \sin k_{1} x+b \sin k_{2} T \)
where \( F, x \) and \( T \) denote the force
distance and time respectively. Units of
\( k_{1} \) and \( k_{2} \) are respectively a
A. meter, \( s \)
B . meter \( ^{-1}, s^{-1} \)
c. meter \( ^{-1}, s \)
D. meter, \( s^{-1} \)",Physics,ln operatornamearclation fa sin k_1 xb sin k_2 denote force distance time respectively unit k_1 k_2 respectively meter meter s1 meter meter s1,Mechanics,Medium,1031,2,85,152,Hard,thermodynamics,,,,,,
"A monoatomic gas at pressure \( P_{1} \) and
volume \( V_{1} \) is compressed adiabatically to \( \frac{1}{8} \) th of its original volume. What is the final pressure of the gas
\( A \cdot 64 P_{1} \)
в. \( P_{1} \)
\( c \cdot 16 P_{1} \)
D. \( 32 P_{1} \)",Physics,monoatomic gas pressure p_1 volume v_1 compressed adiabatically frac18 th original volume final pressure gas cdot 64 p_1 p_1 cdot 16 p_1 32 p_1,Thermodynamics,Medium,1004,8,77,237,Hard,kinematics,,,,,,
"The amplitude of vibrations measured on the Richter's scale increase by steps of about
A . 10
B. 20
\( c . \) 30
D. 40",Physics,amplitude vibration measured richters scale increase step 10 20 30 40,Other,Unknown,1007,4,34,50,Easy,other,,,,,,
"The plates of a parallel plate capacitor
are charged with surface densities \( \sigma_{1} \)
and \( \sigma_{2}\left(\sigma_{1}=\sigma \text { and } \sigma_{2}=-\sigma\right) \)
respectively and placed horizontally. The electric field at points :
This question has multiple correct options
A. inside the region between the plates will be zeroro
B. above the upper plate and below the lower plate will be zero
c. everywhere in space will be zero
D. inside the region between the plates will be uniform and non zero (neglecting other effects)",Physics,plate parallel plate capacitor charged surface density sigma_1 sigma_2leftsigma_1sigma text sigma_2sigmaright respectively placed horizontally electric field point question multiple correct option inside region plate zeroro upper plate lower plate zero everywhere space zero inside region plate uniform non zero neglecting effect,Kinematics,Easy,1063,8,67,31,Medium,mechanics,"The plates of a parallel plate capacitor
are charged with surface densities \( \sigma_{1} \)
and \( \sigma_{2}\left(\sigma_{1}=\sigma \text { and } \sigma_{2}=-\sigma\right) \)
respectively and placed horizontally. The electric field at points :
This question has multiple correct options",inside the region between the plates will be zeroro,above the upper plate and below the lower plate will be zero,everywhere in space will be zero,inside the region between the plates will be uniform and non zero (neglecting other effects),
"If K.E. of a particle increases by \( 125 \% \) then what is the \( \% \) increase in its
momentum?",Physics,ke particle increase 125 increase momentum,Mechanics,Medium,1041,4,20,263,Easy,mechanics,,,,,,
"Rainbow is due to
This question has multiple correct options
A. scattering of light
B. refraction of light
C . dispersion
D. total internal reflection of light",Physics,rainbow due question multiple correct option scattering light refraction light dispersion total internal reflection light,Optics,Easy,1053,9,20,120,Easy,optics,,,,,,
"A wire is cut in to 4 pieces, which are put together by sides to obtain one conductor. If the original resistance of
wire was \( R, \) the resistance of the bundle
will be:
A \( \cdot \frac{R}{4} \)
в. \( \frac{R}{8} \)
c. \( \frac{R}{16} \)
D. \( \frac{R}{32} \)",Physics,wire cut piece put together side obtain one conductor original resistance wire resistance bundle cdot fracr4 fracr8 fracr16 fracr32,Electricity,Hard,1078,6,26,173,Easy,electricity,,,,,,
"The angular momentum of an electron
in the first orbit of an \( L i^{+} \) ion is
A \( \cdot \frac{3 h}{2 \pi} \)
в. \( \frac{9 h}{2 \pi} \)
c. \( \frac{h}{2 \pi} \)
D. \( \frac{h}{6 \pi} \)",Physics,angular momentum electron first orbit ion cdot frac3 h2 pi frac9 h2 pi frach2 pi frach6 pi,Mechanics,Medium,1021,10,50,101,Medium,optics,,,,,,
"What do you mean by short-
sightedness?",Physics,mean short sightedness,Other,Unknown,1003,10,68,233,Medium,electricity,,,,,,
"The ratio of the radii of the planets \( \boldsymbol{R}_{1} \)
and \( R_{2} \) is \( k . \) The ratio of the acceleration
due to gravity is \( r . \) The ratio of the escape velocities from them will be
\( \mathbf{A} \cdot k r \)
B. \( \sqrt{k r} \)
c. \( \sqrt{(k / r)} \)
D. \( \sqrt{(r / k)} \)",Physics,ratio radius planet boldsymbolr_1 r_2 ratio acceleration due gravity ratio escape velocity mathbfa cdot sqrtk sqrtk sqrtr,Kinematics,Easy,1026,4,63,106,Medium,electricity,,,,,,
"A liquid P of specific heat capacity \( 1800 J k g^{-1} K^{-1} \) and \( a t 80^{\circ} C \) is mixed
with a liquid \( R \) of specific heat capacity \( 1200 J k g^{-1} K^{-1} \) and at \( 30^{\circ} \mathrm{C} . \) After
mixing, the final temperature of
mixture is \( 50^{\circ} \mathrm{C} \). In what proportion by weight are the liquids mixed?",Physics,liquid specific heat capacity 1800 g1 k1 80circ mixed liquid specific heat capacity 1200 g1 k1 30circ mathrmc mixing final temperature mixture 50circ mathrmc proportion weight liquid mixed,Thermodynamics,Medium,1005,8,72,82,Hard,kinematics,,,,,,
"One can lean further to one side or the
other without creating enough turning force to tip him over. This is because
A. The person has low centre of gravity
B. The person has no centre of gravity
c. The person has high centre of gravity
D. None of the above",Physics,one lean one side without creating enough turning force tip person low centre gravity person centre gravity person high centre gravity none,Mechanics,Medium,1040,7,62,31,Medium,electricity,"One can lean further to one side or the
other without creating enough turning force to tip him over. This is because",The person has low centre of gravity,The person has no centre of gravity,The person has high centre of gravity,None of the above,
"An ideal monoatomic gas at \( 27^{\circ} \mathrm{C} \) is
compressed adiabatically to \( 8 / 27 \) times of its present volume. The increase in temperature of the gas is:
A \( .375^{\circ} \mathrm{C} \)
B . \( 402^{\circ} \mathrm{C} \)
c. \( 175^{\circ} \mathrm{C} \)
D. \( 475^{\circ} \mathrm{C} \)",Physics,ideal monoatomic gas 27circ mathrmc compressed adiabatically 27 time present volume increase temperature gas 375circ mathrmc 402circ mathrmc 175circ mathrmc 475circ mathrmc,Thermodynamics,Medium,1085,10,84,101,Hard,kinematics,,,,,,
"Electrical welding works on principle of:
A. continuity equation of electric current
B. heating effect of electric current
C. heating effect of exothermic reactions
D. none of the above",Physics,electrical welding work principle continuity equation electric current heating effect electric current heating effect exothermic reaction none,Mechanics,Medium,1020,4,82,203,Hard,thermodynamics,Electrical welding works on principle of:,continuity equation of electric current,heating effect of electric current,heating effect of exothermic reactions,none of the above,
"The speed of sound in hydrogen at \( N T P \)
is \( 1270 m s^{-1} . \) Then the speed in a
mixture of hydrogen and oxygen in the ratio 4: 1 by volume will be
\( \mathbf{A} \cdot 317 m s^{-1} \)
B . \( 635 \mathrm{ms}^{-1} \)
c. \( 830 m s^{-1} \)
D. \( 950 \mathrm{ms}^{-1} \)",Physics,speed sound hydrogen 1270 s1 speed mixture hydrogen oxygen ratio volume mathbfa cdot 317 s1 635 mathrmms1 830 s1 950 mathrmms1,Other,Unknown,1094,4,32,290,Easy,other,,,,,,
"In the electric field due to a point
charge \( \boldsymbol{q}, \) a test charge is carried from
\( A \) to the points \( B, C, D \) and \( E \) lying on
the same circle around \( q \). The work done
is
A. the least along \( A B \)
B. the least along \( A D \)
C. zero along any one of the paths \( A B, A D, A C \) and \( A E \)
D. the least along \( A E \).",Physics,electric field due point charge boldsymbolq test charge carried point lying circle around work done least along least along zero along one path least along,Mechanics,Medium,1031,9,27,96,Easy,mechanics,"In the electric field due to a point
charge \( \boldsymbol{q}, \) a test charge is carried from
\( A \) to the points \( B, C, D \) and \( E \) lying on
the same circle around \( q \). The work done
is",the least along \( A B \),the least along \( A D \),"zero along any one of the paths \( A B, A D, A C \) and \( A E \)",the least along \( A E \).,
"Two small bar magnets are placed in a line at certain distance \( d \) part. If the
length of each magnet is negligible compared to \( d \), the force between them will be inversely proportional to:
\( \mathbf{A} \cdot d^{2} \)
B. \( d \)
\( c \cdot d^{3} \)
D. \( d^{4} \)",Physics,two small bar magnet placed line certain distance part length magnet negligible compared force inversely proportional mathbfa cdot d2 cdot d3 d4,Mechanics,Medium,1077,1,30,212,Easy,mechanics,,,,,,
"A parallel plate capacitor is charged
and then isolated. The effect of
increasing the plate separation on charge, potential and capacitance respectively are:
A. constant, decreases, decreases
B. increases, decreases, decreases
c. constant, decreases, increases
D. constant, increases, decreases",Physics,parallel plate capacitor charged isolated effect increasing plate separation charge potential capacitance respectively constant decrease decrease increase decrease decrease constant decrease increase constant increase decrease,Electricity,Hard,1065,5,84,284,Hard,kinematics,,,,,,
"In a transistor, forward bias is always
smaller than the reverse bias. This is
done to :
A. Maintain constant current supply
B. get good output
c. Avoid excessive heating of transistor
D. Maintain flow of majority charge carriers",Physics,transistor forward bias always smaller reverse bias done maintain constant current supply get good output avoid excessive heating transistor maintain flow majority charge carrier,Thermodynamics,Medium,1003,2,47,51,Medium,mechanics,"In a transistor, forward bias is always
smaller than the reverse bias. This is
done to :",Maintain constant current supply,get good output,Avoid excessive heating of transistor,Maintain flow of majority charge carriers,
"The weather department has predicted that a thunderstorm is likely to occur on
a certain day. Suppose you have to go
out on that day. Would you carry an umbrella? Explain.",Physics,weather department predicted thunderstorm likely occur certain day suppose go day would carry umbrella explain,Other,Unknown,1011,10,39,129,Easy,other,,,,,,
"Q Type your question
The and
of incidence and reflection in
accordance with the laws of reflection?
\( A \)
B.
\( c \)
\( D \)",Physics,type question incidence reflection accordance law reflection,Optics,Easy,1037,2,73,80,Hard,thermodynamics,,,,,,
Explain the term :Electroplating.,Physics,explain term electroplating,Other,Unknown,1024,10,57,181,Medium,electricity,,,,,,
"A man fired a bullet against a wall and
hears an echo after \( 2 s . \) He walks \( 80 m \)
towards the wall and fired bullet, such
that he hears echo after \( 1 s \). Find the
distance from wall to the second fired
place",Physics,man fired bullet wall hears echo walk 80 towards wall fired bullet hears echo find distance wall second fired place,Other,Unknown,1092,1,23,65,Easy,other,,,,,,
"The intensity of radiation emitted by the
sun has its maximum value at a
wavelength of \( 510 n m \) and that emitted
by the North Star has the maximum value at 350 nm. If these stars behave
like black bodies, the ratio of the
surface temperature of the sun and the North Star is
A . 1.46
B. 0.69
c. 1.21
D. 0.83",Physics,intensity radiation emitted sun maximum value wavelength 510 emitted north star maximum value 350 nm star behave like black body ratio surface temperature sun north star 146 069 121 083,Thermodynamics,Medium,1040,5,69,78,Medium,electricity,,,,,,
"The image of a square hole in a screen illuminated by light is obtained on another screen with the help of a converging lens. The distance of the
hole from the lens is \( 40 \mathrm{cm} \). If the area
of the image is nine times that of the
hole, the focal length of the lens is :
\( \mathbf{A} \cdot 30 \mathrm{cm} \)
B. \( 50 \mathrm{cm} \)
c. \( 60 \mathrm{cm} \)
D. \( 75 \mathrm{cm} \)",Physics,image square hole screen illuminated light obtained another screen help converging lens distance hole lens 40 mathrmcm area image nine time hole focal length lens mathbfa cdot 30 mathrmcm 50 mathrmcm 60 mathrmcm 75 mathrmcm,Optics,Easy,1011,9,58,140,Medium,mechanics,,,,,,
"Charging by friction is accompanied by loss or gain of electrons. State which
body loses electrons when an ebonite rod is rubbed with fur.
A . ebonite
B. fur
c. hand
D. Both fur and ebonite",Physics,charging friction accompanied loss gain electron state body loses electron ebonite rod rubbed fur ebonite fur hand fur ebonite,Mechanics,Medium,1079,8,69,240,Medium,mechanics,,,,,,
"The speed of light in two media I and I
are \( 2.2 \times 10^{8} m / s \) and \( 2.4 \times 10^{8} m / s \)
respectively. The critical angle for light refracting from I to II medium will be
A \( \sin ^{-1}\left(\frac{12}{11}\right) \)
(i) \( \left(\frac{1}{1}\right)(1)^{\frac{1}{11}} \)
\( \mathbf{B} \cdot \sin ^{-1}\left(\frac{11}{12}\right) \)
\( \mathbf{c} \cdot \sin ^{-1}\left(\frac{12}{24}\right) \)
\( \mathbf{D} \cdot \sin ^{-1}\left(\frac{12}{21}\right) \)",Physics,speed light two medium 22 time 108 24 time 108 respectively critical angle light refracting ii medium sin 1leftfrac1211right leftfrac11right1frac111 mathbfb cdot sin 1leftfrac1112right mathbfc cdot sin 1leftfrac1224right mathbfd cdot sin 1leftfrac1221right,Optics,Easy,1077,4,24,130,Easy,optics,,,,,,
"When one drop of a liquid is broken into number of droplets, which of the statement is correct?
A. Surface area decreases
B. Surface energy decreases
c. Temperature of liquid increases
D. Surface area increases",Physics,one drop liquid broken number droplet statement correct surface area decrease surface energy decrease temperature liquid increase surface area increase,Mechanics,Medium,1092,5,57,169,Medium,electricity,"When one drop of a liquid is broken into number of droplets, which of the statement is correct?",Surface area decreases,Surface energy decreases,Temperature of liquid increases,Surface area increases,
"Identify the wrong statement
A. Eddy currents are produced in a steady magnetic field
B. Eddy currents can be minimized by using laminated core
C. Induction furnace uses eddy current to produce heat
D. Eddy current can be used to produce breaking force in moving vehicles
E. Power meters are working on the principle of eddy currents",Physics,identify wrong statement eddy current produced steady magnetic field eddy current minimized using laminated core induction furnace us eddy current produce heat eddy current used produce breaking force moving vehicle power meter working principle eddy current,Mechanics,Medium,1096,1,38,223,Easy,mechanics,Identify the wrong statement,Eddy currents are produced in a steady magnetic field,Eddy currents can be minimized by using laminated core,Induction furnace uses eddy current to produce heat,"Eddy current can be used to produce breaking force in moving vehicles
E. Power meters are working on the principle of eddy currents",
"Which of the following gives off a purple vapour when sublimes?
A. Sodium hydroxide, NaOH(s)
B. Graphite, c(s)
c. Iron(III) chloride, \( F e C l_{3}(s) \)
D. sucrose, \( C_{12} H_{22} O_{11} \) (s)
E . lodine, \( I_{2} \) (s)",Physics,following give purple vapour sublimes sodium hydroxide naohs graphite c ironiii chloride l_3s sucrose c_12 h_22 o_11 lodine i_2,Kinematics,Easy,1048,1,92,31,Hard,kinematics,Which of the following gives off a purple vapour when sublimes?,"Sodium hydroxide, NaOH(s)","Graphite, c(s)","Iron(III) chloride, \( F e C l_{3}(s) \)","sucrose, \( C_{12} H_{22} O_{11} \) (s)
E . lodine, \( I_{2} \) (s)",
"How is a speed skater able to glide across the ice? How can the skater
increase friction between the ice and
the skates? What effect does
an increase in friction have on the
skater's speed?",Physics,speed skater able glide across ice skater increase friction ice skate effect increase friction skater speed,Mechanics,Medium,1044,9,100,99,Hard,thermodynamics,,,,,,
Match the answers given in list 1 with the questions in list 2,Physics,match answer given list question list,Other,Unknown,1015,1,66,260,Medium,optics,,,,,,
"In which of the following situations will a fuse possibly melt? This question has multiple correct options
A. The earth wire is broken
B. There is a short circuit in the electrical circuit
c. The fuse is fixed along the neutral wire instead of the live wire
D. The fuse wire is connected to earth wire",Physics,following situation fuse possibly melt question multiple correct option earth wire broken short circuit electrical circuit fuse fixed along neutral wire instead live wire fuse wire connected earth wire,Electricity,Hard,1039,10,78,147,Hard,kinematics,In which of the following situations will a fuse possibly melt? This question has multiple correct options,The earth wire is broken,There is a short circuit in the electrical circuit,The fuse is fixed along the neutral wire instead of the live wire,The fuse wire is connected to earth wire,
"In intrinsic semiconductor at room
temperature number of electrons and holes are:
A. Equal
B. zero
c. Unequal
D. Infinite",Physics,intrinsic semiconductor room temperature number electron hole equal zero unequal infinite,Thermodynamics,Medium,1019,5,78,146,Hard,kinematics,"In intrinsic semiconductor at room
temperature number of electrons and holes are:",Equal,zero,Unequal,Infinite,
"The necessary condition for an
interference by two sources of light is
that:
A. two light sources must have the same wavelength
B. two point sources should have the same amplitude and same wavelength
C. two sources should have the same wavelength, nearly the same amplitude and have a constant phase angle difference
D. the two point sources should have a randomly varying phase difference",Physics,necessary condition interference two source light two light source must wavelength two point source amplitude wavelength two source wavelength nearly amplitude constant phase angle difference two point source randomly varying phase difference,Optics,Easy,1056,2,22,208,Easy,optics,"The necessary condition for an
interference by two sources of light is
that:",two light sources must have the same wavelength,two point sources should have the same amplitude and same wavelength,"two sources should have the same wavelength, nearly the same amplitude and have a constant phase angle difference",the two point sources should have a randomly varying phase difference,
"An electric charge in uniform motion produces:
A. An electric field only
B. A magnetic field only
c. Both electric and magnetic fields
D. No such field at all",Physics,electric charge uniform motion produce electric field magnetic field electric magnetic field field,Kinematics,Easy,1088,10,63,78,Medium,electricity,An electric charge in uniform motion produces:,An electric field only,A magnetic field only,Both electric and magnetic fields,No such field at all,
"An electric dipole placed in a non-
uniform electric field experiences:
A. Both a torque and a net force
B. Only a force but no torque
C. Only a torque but no net force
D. No torque and no net force",Physics,electric dipole placed non uniform electric field experience torque net force force torque torque net force torque net force,Kinematics,Easy,1068,6,68,266,Medium,electricity,"An electric dipole placed in a non-
uniform electric field experiences:",Both a torque and a net force,Only a force but no torque,Only a torque but no net force,No torque and no net force,
"A shell is fired from point 0 on the level ground with velocity \( 50 m / s \) at angle
\( 53^{\circ} . A \) hill of uniform slope \( 37^{\circ} \) starts
from point \( A \) that is \( 100 m \) away from the point 0 as shown in the figure. Calculate the time of flight (in seconds)",Physics,fired point level ground velocity 50 angle 53circ hill uniform slope 37circ start point 100 away point shown figure calculate time flight second,Kinematics,Easy,1052,3,54,215,Medium,electricity,,,,,,
"A conducting loop is held above a
current carrying wire 'PQ' as shown in the figure. Depict the direction of the
current induced in the loop when the current in the wire \( P Q \) is constantly
increasing.",Physics,conducting loop held current carrying wire pq shown figure depict direction current induced loop current wire constantly increasing,Electricity,Hard,1005,4,60,298,Medium,mechanics,,,,,,
"A glider is oscillating in SHM on an air track with an amplitude A. You slow it so that its amplitude becomes half.
Find the total mechanical energy in terms of previous value.
A \( \cdot 1 / 2 \)
в. \( 1 / 3 \)
c. \( 1 / \sqrt{5} \)
D. \( 1 / 4 \)",Physics,glider oscillating shm air track amplitude slow amplitude becomes half find total mechanical energy term previous value cdot sqrt5,Mechanics,Medium,1001,8,91,200,Hard,kinematics,,,,,,
"\( 1 k g \) of water at \( 20^{\circ} C \) is, mixed with
\( 800 g \) of water at \( 80^{\circ} \mathrm{C} \). Assuming that no heat is lost to the
surroundings, calculate the final temperature of the mixture:
A \( \cdot 24.44^{\circ} \mathrm{C} \)
B . \( 46.67^{\circ} \mathrm{C} \)
c. \( 44.44^{\circ} \mathrm{C} \)
D. \( 54.44^{\circ} \mathrm{C} \)",Physics,water 20circ mixed 800 water 80circ mathrmc assuming heat lost surroundings calculate final temperature mixture cdot 2444circ mathrmc 4667circ mathrmc 4444circ mathrmc 5444circ mathrmc,Thermodynamics,Medium,1008,1,88,33,Hard,kinematics,,,,,,
"The following graph was plotted
between \( \mathrm{V} \) and \( \mathrm{I} \) values. What would be
the values of \( V / I \) ratios when the
potential difference is \( 0.5 \mathrm{V} \) and \( 1 \mathrm{V} \) ?",Physics,following graph plotted mathrmv mathrmi value would value ratio potential difference 05 mathrmv mathrmv,Kinematics,Easy,1046,9,27,190,Easy,kinematics,,,,,,
"Compressed air in the tube of a wheel of a cycle at normal temperature suddenly starts coming out from a puncture.The
air inside:
A. starts becoming hotter
B. remains at the same temperature
c. starts becoming cooler
D. may become hotter or cooler depending upon the amount of water vapour present",Physics,compressed air tube wheel cycle normal temperature suddenly start coming puncturethe air inside start becoming hotter remains temperature start becoming cooler may become hotter cooler depending upon amount water vapour present,Thermodynamics,Medium,1002,4,98,175,Hard,thermodynamics,"Compressed air in the tube of a wheel of a cycle at normal temperature suddenly starts coming out from a puncture.The
air inside:",starts becoming hotter,remains at the same temperature,starts becoming cooler,may become hotter or cooler depending upon the amount of water vapour present,
"Equations of motion in the same
direction is given by \( \boldsymbol{y}_{1}=\boldsymbol{A} \sin (\boldsymbol{\omega} \boldsymbol{t}-\boldsymbol{k} \boldsymbol{x}), \boldsymbol{y}_{2}=\boldsymbol{A} \sin (\boldsymbol{\omega} \boldsymbol{t}- \)
\( k x-\theta) . \) The amplitude of the medium
particle will be
A. \( \sqrt{2} A \cos \theta \)
B. \( 2 A \cos \theta \)
c. \( \sqrt{2} A \cos \frac{\theta}{2} \)
D. \( 2 A \cos \frac{\theta}{2} \)",Physics,equation motion direction given boldsymboly_1boldsymbola sin boldsymbolomega boldsymboltboldsymbolk boldsymbolx boldsymboly_2boldsymbola sin boldsymbolomega boldsymbolt xtheta amplitude medium particle sqrt2 co theta co theta sqrt2 co fractheta2 co fractheta2,Kinematics,Easy,1044,4,37,248,Easy,kinematics,,,,,,
"A particle is thrown vertically upwards. Its velocity at half of the height is \( \mathbf{1 0} \boldsymbol{m} / \boldsymbol{s}, \) then the maximum height
attained by it will be: \( \left(g=10 m / s^{2}\right) \)
A . \( 10 m \)
в. \( 20 m \)
\( c .15 m \)
D. \( 25 m \)",Physics,particle thrown vertically upwards velocity half height mathbf1 boldsymbolm boldsymbols maximum height attained leftg10 s2right 10 20 15 25,Kinematics,Easy,1017,8,70,255,Hard,thermodynamics,,,,,,
"A steady current \( I \) flows through a wire
of radius \( r, \) length \( L \) and resistivity \( \rho \)
The current produces heat in the wire. The rate of heat loss in a wire is
proportional to its surface area. The steady temperature of the wire is independent of
A. \( L \)
B. \( r \)
c. \( I \)
D.",Physics,steady current flow wire radius length resistivity rho current produce heat wire rate heat loss wire proportional surface area steady temperature wire independent,Thermodynamics,Medium,1065,4,74,138,Hard,thermodynamics,,,,,,
"Alternating current is flowing in inductance \( L \) and resistance \( R \). The
frequency of source is \( \frac{\omega}{2 \pi} . \) Which of the
following statement is correct.
A. For low frequency the limiting value of impedance is \( L \)
B. For high frequency the limiting value of impedance is \( L \omega \)
C. For high frequency the limiting value of impedance is \( R \)
D. For low frequency the limiting value of impedance is \( L \omega \)",Physics,alternating current flowing inductance resistance frequency source fracomega2 pi following statement correct low frequency limiting value impedance high frequency limiting value impedance omega high frequency limiting value impedance low frequency limiting value impedance omega,Electricity,Hard,1053,1,44,134,Medium,electricity,"Alternating current is flowing in inductance \( L \) and resistance \( R \). The
frequency of source is \( \frac{\omega}{2 \pi} . \) Which of the
following statement is correct.",For low frequency the limiting value of impedance is \( L \),For high frequency the limiting value of impedance is \( L \omega \),For high frequency the limiting value of impedance is \( R \),For low frequency the limiting value of impedance is \( L \omega \),
"1 kgwt is equal to
\( \mathbf{A} \cdot 9.8 N \)
B. \( 980 N \)
\( \mathbf{c} .98 N \)
D. none of these",Physics,kgwt equal mathbfa cdot 98 980 mathbfc 98 none,Other,Unknown,1083,2,40,118,Medium,electricity,,,,,,
"Two sound waves having a phase
difference of \( 60^{\circ}, \) have a path difference
of :
\( A \cdot \frac{\lambda}{3} \)
B. \( \frac{\lambda}{6} \)
\( c \cdot \frac{\lambda}{9} \)
D. \( \lambda \)",Physics,two sound wave phase difference 60circ path difference cdot fraclambda3 fraclambda6 cdot fraclambda9 lambda,Other,Unknown,1042,10,62,172,Medium,electricity,,,,,,
"Fill in the blank:
The 3 middle stars in Orion represent
the
A. belt of the bear
B. belt of the hunter
c. tail of the bear
D. stick of the hunter",Physics,fill blank middle star orion represent belt bear belt hunter tail bear stick hunter,Other,Unknown,1076,1,21,247,Easy,other,"Fill in the blank:
The 3 middle stars in Orion represent
the",belt of the bear,belt of the hunter,tail of the bear,stick of the hunter,
"The amount of work done in lifting a
mass ' \( m \) ' from the surface of the earth
to height \( 2 R \) is
A. \( 2 m g R \)
в. \( 3 m g R \)
c. \( \frac{3}{2} m g R \)
D. \( \frac{2}{3} m g R \)",Physics,amount work done lifting mass surface earth height frac32 frac23,Mechanics,Medium,1067,2,55,99,Medium,optics,,,,,,
What is dielectric substance?,Physics,dielectric substance,Other,Unknown,1007,9,51,238,Medium,optics,,,,,,
Give two point of difference between a step-up transformer and a step-down transformer?,Physics,give two point difference stepup transformer stepdown transformer,Other,Unknown,1023,1,100,278,Hard,kinematics,,,,,,
"Two masses as shown are suspended
from a massless pulley. Calculate the
acceleration of the 10 kg mass when
masses are left free
\( \mathbf{A} \cdot \frac{2 g}{3} \)
B. \( \frac{g}{3} \)
c. \( \frac{g}{9} \)
\( D \cdot \underline{g} \)",Physics,two mass shown suspended massless pulley calculate acceleration 10 kg mass mass left free mathbfa cdot frac2 g3 fracg3 fracg9 cdot underlineg,Kinematics,Easy,1034,8,21,260,Easy,kinematics,,,,,,
"Orion nebula glows brightly because the gas in it is energised by the stars that have already formed within it, such
types of nebula are called
as
A. planetary nebula
B. dark nebula
c. reflection nebula
D. emission nebula",Physics,orion nebula glow brightly gas energised star already formed within type nebula called planetary nebula dark nebula reflection nebula emission nebula,Optics,Easy,1007,2,68,46,Medium,electricity,"Orion nebula glows brightly because the gas in it is energised by the stars that have already formed within it, such
types of nebula are called
as",planetary nebula,dark nebula,reflection nebula,emission nebula,
"Which of the following statement is
correct regarding induced electric field (symbols have their usual meanings)? This question has multiple correct options
A. Work done in moving a test charge in an induced electric field can be zero
B. Induced electric field is non-conservative is nature
C. Induced electric lines of force form closed loops
D. Induced e.m.f. in the loop in \( \varepsilon=\oint \vec{E} . \overline{d \iota}=-\frac{d \phi}{d t} \)",Physics,following statement correct regarding induced electric field symbol usual meaning question multiple correct option work done moving test charge induced electric field zero induced electric field nonconservative nature induced electric line force form closed loop induced emf loop varepsilonoint vece overlined iotafracd phid,Mechanics,Medium,1029,10,91,256,Hard,kinematics,"Which of the following statement is
correct regarding induced electric field (symbols have their usual meanings)? This question has multiple correct options",Work done in moving a test charge in an induced electric field can be zero,Induced electric field is non-conservative is nature,Induced electric lines of force form closed loops,Induced e.m.f. in the loop in \( \varepsilon=\oint \vec{E} . \overline{d \iota}=-\frac{d \phi}{d t} \),
"(A) What do you mean by barrier
potential of diode?
(B) With help of a diagram explain the working of a full wave rectifier.",Physics,mean barrier potential diode help diagram explain working full wave rectifier,Mechanics,Medium,1076,9,71,33,Hard,kinematics,,,,,,
"Assertion (A): Corpuscular theory fails in explaining the velocity of light in air
to water.

Reason (R) : According to corpuscular theory, light should travel faster in denser media than in rarer media.
A. A and R are true R is correct explanation for A
B. A and R are true R is not correct explanation for A
c. A is true but R is false
D. A is false but R is true",Physics,assertion corpuscular theory fails explaining velocity light air water reason according corpuscular theory light travel faster denser medium rarer medium true correct explanation true correct explanation true false false true,Kinematics,Easy,1044,1,78,79,Hard,thermodynamics,,,,,,
"The resultant magnetic moment due to two currents carrying concentric coils of radius \( r, \) mutually perpendicular to
each other will be
A. \( \sqrt{2} i \)
B. \( \sqrt{2} i \pi r^{2} \)
\( \mathbf{c} \cdot 2 \pi r^{2} \)
D. \( \sqrt{2} i r^{2} \)",Physics,resultant magnetic moment due two current carrying concentric coil radius mutually perpendicular sqrt2 sqrt2 pi r2 mathbfc cdot pi r2 sqrt2 r2,Electricity,Hard,1084,8,44,91,Medium,mechanics,,,,,,
"Calculate the wave length of the
longitudinal wave.
A. \( 1.5 \mathrm{m} \)
B. 3 \( m \)
c. \( 4.5 \mathrm{m} \)
D. \( 9 \mathrm{m} \)
E. 18 m",Physics,calculate wave length longitudinal wave 15 mathrmm 45 mathrmm mathrmm 18,Other,Unknown,1090,5,20,68,Easy,other,"Calculate the wave length of the
longitudinal wave.",\( 1.5 \mathrm{m} \),3 \( m \),\( 4.5 \mathrm{m} \),"\( 9 \mathrm{m} \)
E. 18 m",
"Due to \( \gamma \) decay, what is the effect on
neutron and proton numbers?
A. Both remains constant
B. Proton number increase but neutron number decreases
c. Proton number decreases and neutron increases
D. None of these",Physics,due gamma decay effect neutron proton number remains constant proton number increase neutron number decrease proton number decrease neutron increase none,Other,Unknown,1050,4,50,176,Medium,optics,"Due to \( \gamma \) decay, what is the effect on
neutron and proton numbers?",Both remains constant,Proton number increase but neutron number decreases,Proton number decreases and neutron increases,None of these,
"The volume of a perfect gas at NTP is
A. 22.4 litres
B. 2.24 litres
c. 100 litres
D. None of these",Physics,volume perfect gas ntp 224 litre 224 litre 100 litre none,Thermodynamics,Medium,1042,10,48,31,Medium,mechanics,The volume of a perfect gas at NTP is,22.4 litres,2.24 litres,100 litres,None of these,
